...1,created_on,expenses,floor,lat,lon,place_name,place_with_parent_names,price,price_aprox_local_currency,price_aprox_usd,price_per_m2,price_usd_per_m2,property_type,rooms,state_name,surface_covered_in_m2,surface_in_m2,surface_total_in_m2,title
33668,2015-03-30,NA,NA,-34.5301748,-58.498911,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,430000,4171301,430000,895.833333333,1194.44444444,house,NA,NA,480,NA,360,"Casa 360m² con Dependencias en WARNES, Ignacio 1600, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 430.000"
33713,2015-03-30,NA,NA,-34.4947445,-58.5686308,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,380000,3686266,380000,1237.78501629,473.815461347,house,NA,NA,307,NA,802,"Casa 802m² con Teléfono en GARDEL, Carlos 1000, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 380.000"
33735,2015-03-30,NA,NA,-34.489186,-58.5439819,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,1500000,14551050,1500000,2307.69230769,840.336134454,house,NA,NA,650,NA,1785,"Casa 1785m² con Dependencias en TERRERO, Obispo 2500, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 1.500.000"
33755,2015-03-30,NA,NA,-34.8522234,-58.5361274,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,690000,6693483,690000,1266.05504587,690,house,NA,NA,545,NA,1000,"Casa 1000m² con Cochera en ALTO PERU 1100, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 690.000"
33756,2015-03-30,NA,NA,-34.5072951,-58.6755306,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,980000,9506686,980000,2041.66666667,635.538261997,house,NA,NA,480,NA,1542,"Casa 1542m² con Dependencias en SUCRE 1300, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 980.000"
33771,2015-03-30,NA,NA,-34.4900913,-58.5609241,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,550000,5335385,550000,916.666666667,597.826086957,house,NA,NA,600,NA,920,"Casa 920m² con Cochera en ABRIATA, Pablo A. 200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 550.000"
33775,2015-03-30,NA,NA,-34.4896941,-58.5658582,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,850000,8245595,850000,1931.81818182,386.363636364,house,NA,NA,440,NA,2200,"Casa 2200m² con Teléfono en BERMEJO 1200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 850.000"
33789,2015-03-30,NA,NA,-34.4772047,-58.5338415,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,250000,2425175,250000,2380.95238095,1344.08602151,house,NA,NA,105,NA,186,"Casa 186m² con Dependencias en DON BOSCO 1400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 250.000"
33800,2015-03-30,NA,NA,-34.497003,-58.5719882,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,75000,727552.5,75000,1666.66666667,833.333333333,PH,NA,NA,45,NA,90,"PH 90m² con Teléfono en MALVINAS, Nuestras 1200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 75.000"
33815,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,395000,3831776.5,395000,1316.66666667,493.75,house,NA,NA,300,NA,800,"Casa 800m² con Dependencias en 200, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 395.000"
33824,2015-03-30,NA,NA,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,595000,5771916.5,595000,2109.92907801,793.333333333,house,NA,NA,282,NA,750,"Casa 750m² con Teléfono en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 595.000"
33878,2015-03-30,NA,NA,-34.4884883,-58.5476857,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,580000,5626406,580000,1835.44303797,843.023255814,house,NA,NA,316,NA,688,"Casa 688m² con Dependencias en DE LAS CARRERAS, Ernesto 400, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 580.000"
33879,2015-03-30,NA,3,NA,NA,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,320000,3104224,320000,3555.55555556,3106.7961165,apartment,NA,NA,90,NA,103,"Departamento 103m² con Teléfono en 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 320.000"
33887,2015-03-30,NA,NA,-34.4805386,-58.5690014,Bs.As. G.B.A. Zona Norte,|Argentina|Bs.As. G.B.A. Zona Norte|,890000,8633623,890000,1600.71942446,400.900900901,house,NA,NA,556,NA,2220,"Casa 2220m² con Cochera en SEGUROLA 0, Argentina, Bs.As. G.B.A. Zona Norte, por U$S 890.000"
