duration_ms,explicit,year,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre
243666,FALSE,2004,52,0.829,0.652,7,-8.693,0,0.108,0.067,0,0.0812,0.726,99.581,"hip hop, pop, R&B"
265026,FALSE,2001,47,0.771,0.796,5,-3.081,0,0.076,0.0993,0.00278,0.0981,0.801,99.316,"pop, R&B"
280626,FALSE,2000,60,0.63,0.95,1,-4.012,1,0.0806,9.15e-4,6.51e-6,0.373,0.858,143.866,"pop, latin"
244053,FALSE,2000,55,0.721,0.836,8,-3.972,0,0.206,0.112,0,0.235,0.508,126.279,"hip hop, pop, R&B"
274226,TRUE,1999,60,0.746,0.443,1,-7.693,0,0.0771,0.282,0,0.14,0.272,119.311,"hip hop, pop, R&B"
227866,NA,2000,59,0.8,0.922,4,-5.125,0,0.24,0.301,9.31e-6,0.0352,0.801,98.631,hip hop
257360,FALSE,1999,59,0.348,0.532,10,-5.882,1,0.0331,0.592,0,0.106,0.148,129.297,"pop, R&B"
198400,FALSE,2000,65,0.869,0.887,0,-4.505,1,0.0993,0.0605,0,0.148,0.784,129.221,R&B
243733,TRUE,1999,63,0.854,0.543,8,-6.166,0,0.0844,0.0402,5.73e-5,0.0419,0.868,103.032,"pop, R&B"
215506,FALSE,2001,65,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,"pop, country"
278666,FALSE,2000,0,0.408,0.849,2,-5.631,1,0.0333,0.0136,2.51e-5,0.56,0.628,84.192,"Folk/Acoustic, rock"
219240,FALSE,2010,58,0.666,0.968,10,-3.196,1,0.046,0.123,0,0.347,0.834,135.099,"pop, easy listening, Dance/Electronic"
298960,FALSE,2000,52,0.742,0.732,2,-6.046,0,0.0311,0.0424,0.00446,0.101,0.694,97.922,pop
199480,FALSE,2011,0,0.471,0.514,1,-5.599,1,0.0315,0.584,0,0.103,0.373,117.338,"pop, R&B"
257200,FALSE,2000,60,0.682,0.744,8,-6.981,1,0.0365,0.376,0.00951,0.06,0.827,132.493,"hip hop, pop, R&B"
273706,FALSE,1999,61,0.599,0.47,1,-8.356,1,0.0376,0.38,0,0.111,0.298,127.177,pop
273533,NA,2000,58,0.631,0.734,5,-7.48,0,0.036,0.348,0,0.135,0.591,124.036,pop
255373,NA,1999,78,0.458,0.795,0,-3.265,1,0.0574,0.00316,2.02e-4,0.0756,0.513,123.229,rock
251040,FALSE,2000,55,0.826,0.656,9,-8.529,1,0.0617,0.0101,1.13e-4,0.0272,0.852,129.963,"hip hop, pop, R&B"
235133,NA,2000,70,0.659,0.812,4,-7.499,0,0.0487,0.23,0,0.0951,0.888,83.014,"hip hop, pop, R&B"
261973,FALSE,1999,66,0.777,0.601,2,-5.931,1,0.126,0.0406,0.00201,0.0348,0.68,97.911,"rock, blues, latin"
243533,FALSE,2000,55,0.859,0.622,11,-8.196,1,0.0445,0.0661,0,0.0394,0.433,134.007,"pop, R&B"
202800,FALSE,2000,55,0.822,0.847,10,-6.729,0,0.0917,0.0854,0,0.0452,0.668,107.908,pop
214819,FALSE,2000,58,0.751,0.901,2,-5.802,1,0.0328,0.0504,0.00308,0.0395,0.973,124.017,pop
234826,FALSE,2000,59,0.655,0.791,0,-8.923,1,0.0302,0.1,1.24e-4,0.334,0.862,118.981,"pop, rock"
228140,FALSE,1999,56,0.808,0.982,3,-6.588,0,0.0311,0.0585,0.00689,0.35,0.961,124.999,Dance/Electronic
230200,FALSE,1999,70,0.771,0.685,1,-4.639,1,0.0567,0.00543,0.00157,0.0537,0.683,88.997,"pop, R&B"
241373,FALSE,1999,64,0.634,0.886,9,-5.424,1,0.0434,0.154,0,0.118,0.577,93.04,pop
233933,FALSE,2000,78,0.545,0.865,11,-5.708,0,0.0286,0.00664,1.1e-5,0.168,0.543,99.009,"pop, rock, metal"
226760,FALSE,2000,52,0.736,0.666,1,-4.929,1,0.0337,0.0593,3.82e-5,0.107,0.224,89.824,"pop, R&B"
256973,TRUE,2000,57,0.914,0.607,7,-5.658,1,0.32,0.0626,0,0.0515,0.666,98.054,"hip hop, pop"
236866,FALSE,2000,49,0.313,0.831,1,-3.894,1,0.0404,1.27e-4,3.41e-4,0.24,0.332,152.034,"rock, pop, metal"
253626,FALSE,1999,57,0.664,0.396,5,-9.131,0,0.0298,0.52,0,0.268,0.453,102.053,"pop, R&B"
281466,FALSE,1999,54,0.581,0.607,4,-8.458,1,0.028,0.189,1.6e-6,0.0882,0.213,102.03,pop
231760,FALSE,2000,68,0.491,0.593,0,-5.975,1,0.0255,0.098,0,0.257,0.328,144.142,pop
268746,NA,2000,62,0.631,0.664,6,-9.197,1,0.0242,0.0498,4.2e-4,0.0696,0.407,100.618,pop
